entry,item_id,user_id,date_added
65,sw1033,14,2023-02-27
66,sw0106,14,2023-02-27
67,sw0850,14,2023-02-28
68,sw0752,1,2023-02-28
71,sw0999,1,2023-03-02
81,sw0502,1,2023-03-07
94,sw0002,1,2023-04-04
95,sw0193,1,2023-04-07
99,sw1207,1,2023-04-25
100,sw1172,1,2023-04-25
101,sw0413,1,2023-04-29
102,sw0001b,1,2023-04-30
104,sw1245,1,2023-04-30
105,sw0843,1,2023-04-30
107,75019-1,1,2023-05-02
161,75337-1,1,2023-05-19
164,sw0235,1,2023-05-23
165,sw0432,1,2023-05-24
166,sw0019a,1,2023-05-24
167,sw0090,1,2023-05-24
168,sw0044,1,2023-05-24
169,sw0098,1,2023-05-24
170,sw0103,1,2023-05-24
171,sw0090a,1,2023-05-24
172,30625-1,1,2023-05-24
173,sw1198,1,2023-05-24
174,sw0018,1,2023-05-24
