id,app,name,applied
50,App,0001_initial,2023-03-25 11:54:07.920474+00
51,App,0002_delete_watchlist,2023-03-25 11:54:07.928569+00
52,App,0003_watchlist,2023-03-25 11:54:07.930568+00
53,App,0004_watchlist_date_added_alter_portfolio_date_added_and_more,2023-03-25 11:54:07.932569+00
54,App,0005_alter_watchlist_date_added,2023-03-25 11:54:07.933568+00
55,App,0006_alter_watchlist_date_added,2023-03-25 11:54:07.93457+00
56,App,0007_alter_price_date_alter_watchlist_date_added,2023-03-25 11:54:07.93557+00
57,App,0008_remove_portfolio_view_count_alter_price_date_and_more,2023-03-25 11:54:07.93757+00
58,App,0009_alter_price_date_alter_watchlist_date_added,2023-03-25 11:54:07.938568+00
59,App,0010_alter_user_date_joined,2023-03-25 11:54:07.939458+00
60,App,0011_alter_user_date_joined,2023-03-25 11:54:07.940476+00
61,App,0012_item_views,2023-03-25 11:54:07.941484+00
62,App,0013_piece_pieceparticipation,2023-03-25 11:54:07.944475+00
63,App,0014_rename_item_id_pieceparticipation_item_and_more,2023-03-25 11:54:07.946476+00
64,App,0015_setparticipation,2023-03-25 11:54:07.948483+00
65,App,0016_piece_type_pieceparticipation_colour,2023-03-25 11:54:07.949496+00
66,App,0017_rename_piece_piece_piece_id,2023-03-25 11:54:07.950496+00
67,App,0018_rename_colour_pieceparticipation_colour_id,2023-03-25 11:54:07.951472+00
68,App,0019_alter_piece_piece_name,2023-03-25 11:54:07.952472+00
69,App,0020_portfolio_bought_for_portfolio_date_sold_and_more,2023-03-25 11:54:07.953484+00
70,App,0021_alter_portfolio_date_sold_alter_portfolio_sold_for,2023-03-25 11:54:07.955496+00
71,App,0022_alter_portfolio_date_sold,2023-03-25 11:54:07.956483+00
72,App,0023_alter_portfolio_date_added,2023-03-25 11:54:07.957483+00
73,App,0024_portfolio_notes,2023-03-25 11:54:07.958472+00
74,App,0025_remove_portfolio_quantity,2023-03-25 11:54:07.960484+00
75,App,0026_alter_portfolio_date_added,2023-03-25 11:54:07.961483+00
76,App,0027_alter_portfolio_bought_for_and_more,2023-03-25 11:54:07.963483+00
77,App,0028_alter_user_date_joined,2023-03-25 11:54:07.964483+00
78,App,0029_alter_user_date_joined,2023-03-25 11:54:07.965483+00
79,App,0030_remove_user_date_joined,2023-03-25 11:54:07.966472+00
80,App,0031_alter_item_item_name,2023-03-25 11:54:07.967483+00
81,App,0032_user_date_joined,2023-03-25 11:54:07.968488+00
82,contenttypes,0001_initial,2023-03-25 11:54:07.970497+00
83,auth,0001_initial,2023-03-25 11:54:07.971497+00
84,admin,0001_initial,2023-03-25 11:54:07.972474+00
85,admin,0002_logentry_remove_auto_add,2023-03-25 11:54:07.973474+00
86,admin,0003_logentry_add_action_flag_choices,2023-03-25 11:54:07.974473+00
87,contenttypes,0002_remove_content_type_name,2023-03-25 11:54:07.976474+00
88,auth,0002_alter_permission_name_max_length,2023-03-25 11:54:07.978483+00
89,auth,0003_alter_user_email_max_length,2023-03-25 11:54:07.979471+00
90,auth,0004_alter_user_username_opts,2023-03-25 11:54:07.980483+00
91,auth,0005_alter_user_last_login_null,2023-03-25 11:54:07.982015+00
92,auth,0006_require_contenttypes_0002,2023-03-25 11:54:07.982803+00
93,auth,0007_alter_validators_add_error_messages,2023-03-25 11:54:07.983823+00
94,auth,0008_alter_user_username_max_length,2023-03-25 11:54:07.985842+00
95,auth,0009_alter_user_last_name_max_length,2023-03-25 11:54:07.986829+00
96,auth,0010_alter_group_name_max_length,2023-03-25 11:54:07.987828+00
97,auth,0011_update_proxy_permissions,2023-03-25 11:54:07.988817+00
98,auth,0012_alter_user_first_name_max_length,2023-03-25 11:54:07.98983+00
99,sessions,0001_initial,2023-03-25 11:54:07.99183+00
100,App,0033_alter_item_item_name,2023-03-25 12:17:38.141817+00
101,App,0034_remove_user_date_joined,2023-04-04 19:44:28.095693+01
